Country 1,Country 2,1990,2000,Absolute Change,Relative Change
Albania,Argentina,148,140,-8,-5%
Albania,Australia,984,"1,530",546,0.55
Albania,Austria,"1,733","2,177",444,0.26
Albania,Belgium,"2,157","2,067",-90,-4%
Albania,Bolivia,6,0,-6,-100%
Albania,Bulgaria,103,528,425,4.13
Albania,Canada,398,"6,205","5,807",#ERROR!
Albania,Costa Rica,2,3,1,0.5
Albania,Croatia,0,157,157,
Albania,Cuba,242,226,-16,-7%
Albania,Cyprus,69,126,57,0.83
Albania,Czechia,44,88,44,1
Albania,Denmark,5,84,79,#ERROR!
Albania,Ecuador,8,30,22,2.75
Albania,Egypt,111,88,-23,-21%
Albania,Estonia,0,0,0,
Albania,Finland,0,34,34,
Albania,France,"3,391","3,611",220,0.06
Albania,Georgia,0,11,11,
Albania,Germany,"5,211","11,394","6,183",1.19
Albania,Greece,"63,963","400,253","336,290",5.26
Albania,Guinea,0,0,0,
Albania,Hungary,96,129,33,0.34
Albania,Iceland,10,20,10,1
Albania,Ireland,57,346,289,5.07
Albania,Italy,"44,935","274,408","229,473",5.11
Albania,Latvia,4,8,4,1
Albania,Libya,315,223,-92,-29%
Albania,Liechtenstein,0,0,0,
Albania,Lithuania,0,0,0,
Albania,Luxembourg,290,264,-26,-9%
Albania,Mali,0,0,0,
Albania,Malta,16,48,32,2
Albania,Micronesia (country),0,0,0,
Albania,Montenegro,0,0,0,
Albania,Netherlands,181,362,181,1
Albania,North Macedonia,"45,001","69,367","24,366",0.54
Albania,Norway,21,149,128,6.1
Albania,Philippines,421,582,161,0.38
Albania,Poland,82,60,-22,-27%
Albania,Portugal,11,40,29,2.64
Albania,Romania,591,675,84,0.14
Albania,Russia,"1,026",915,-111,-11%
Albania,San Marino,27,31,4,0.15
Albania,Serbia,57,495,438,7.68
Albania,Slovakia,6,60,54,9
Albania,Slovenia,15,76,61,4.07
Albania,South Africa,78,69,-9,-12%
Albania,Spain,162,712,550,3.4
Albania,Sweden,293,374,81,0.28
Albania,Switzerland,"1,333","1,304",-29,-2%
Albania,Turkey,801,"3,086","2,285",2.85
Albania,United Kingdom,156,"2,227","2,071",#ERROR!
Albania,United States,"5,627","39,644","34,017",6.05
Albania,Venezuela,17,16,-1,-6%
Algeria,Algeria,"-921,665","-1,037,985","-116,320",-13%
Algeria,Argentina,229,219,-10,-4%
Algeria,Australia,665,"1,170",505,0.76
Algeria,Austria,711,893,182,0.26
Algeria,Belarus,27,55,28,1.04
Algeria,Belgium,"26,077","21,519","-4,558",-17%
Algeria,Bolivia,4,10,6,1.5
Algeria,Brazil,0,0,0,
Algeria,Bulgaria,32,178,146,4.56
Algeria,Canada,"3,743","20,571","16,828",4.5
Algeria,Costa Rica,44,9,-35,-80%
Algeria,Croatia,0,0,0,
Algeria,Cuba,103,54,-49,-48%
Algeria,Cyprus,9,16,7,0.78
Algeria,Czechia,80,161,81,1.01
Algeria,Denmark,526,907,381,0.72
Algeria,Ecuador,16,20,4,0.25
Algeria,Egypt,543,648,105,0.19
Algeria,Estonia,0,0,0,
Algeria,Finland,233,377,144,0.62
Algeria,France,"788,914","839,920","51,006",0.06
Algeria,French Guiana,95,93,-2,-2%
Algeria,French Polynesia,605,710,105,0.17
Algeria,Gabon,34,57,23,0.68
Algeria,Georgia,0,18,18,
Algeria,Germany,"8,493","16,238","7,745",0.91
Algeria,Ghana,7,8,1,0.14
Algeria,Greece,203,317,114,0.56
Algeria,Guadeloupe,74,124,50,0.68
Algeria,Guinea,0,0,0,
Algeria,Hungary,263,467,204,0.78
Algeria,Iceland,10,23,13,1.3
Algeria,Ireland,113,686,573,5.07
Algeria,Israel,"19,544","30,056","10,512",0.54
Algeria,Italy,"6,171","15,810","9,639",1.56
Algeria,Jordan,222,417,195,0.88
Algeria,Latvia,6,12,6,1
Algeria,Libya,"1,551","2,642","1,091",0.7
Algeria,Liechtenstein,0,0,0,
Algeria,Lithuania,0,0,0,
Algeria,Luxembourg,98,88,-10,-10%
Algeria,Mali,380,554,174,0.46
Algeria,Malta,21,31,10,0.48
Algeria,Martinique,45,91,46,1.02
Algeria,Mauritania,"1,450","1,601",151,0.1
Algeria,Mexico,47,131,84,1.79
Algeria,Micronesia (country),0,0,0,
Algeria,Morocco,"9,188","8,877",-311,-3%
Algeria,Namibia,716,637,-79,-11%
Algeria,Netherlands,"1,764","3,717","1,953",1.11
Algeria,New Caledonia,513,676,163,0.32
Algeria,Nicaragua,50,68,18,36%
Algeria,Niger,293,438,145,0.49
Algeria,Norway,448,731,283,0.63
Algeria,Peru,10,14,4,0.4
Algeria,Philippines,795,541,-254,-32%
Algeria,Poland,643,470,-173,-27%
Algeria,Portugal,55,187,132,2.4
Algeria,Romania,3,7,4,1.33
Algeria,Russia,"1,303","1,033",-270,-21%
Algeria,Senegal,"3,464","3,275",-189,-5%
Algeria,Serbia,6,56,50,8.33
Algeria,Slovakia,8,66,58,7.25
Algeria,Slovenia,4,25,21,5.25
Algeria,South Africa,348,188,-160,-46%
Algeria,Spain,"11,518","19,360","7,842",0.68
Algeria,Sweden,"1,320","1,681",361,0.27
Algeria,Switzerland,"5,334","6,648","1,314",0.25
Algeria,Tajikistan,198,138,-60,-30%
Algeria,Tunisia,"13,757","10,041","-3,716",-27%
Algeria,Turkey,156,603,447,2.87
Algeria,Uganda,35,0,-35,-100%
Algeria,United Kingdom,"3,594","10,318","6,724",1.87
Algeria,United States,"4,629","11,158","6,529",1.41
Algeria,Venezuela,84,81,-3,-4%
Algeria,Western Sahara,41,50,9,0.22
American Samoa,American Samoa,"-2,041","-3,186","-1,145",-56%
American Samoa,Australia,64,120,56,0.88
American Samoa,France,1,1,0,0
American Samoa,Greece,3,14,11,3.67
American Samoa,Mali,0,0,0,
American Samoa,Micronesia (country),19,15,-4,-21%
American Samoa,Russia,959,"1,029",70,0.07
American Samoa,Samoa,995,"2,007","1,012",1.02
Andorra,Andorra,"-3,740","-5,575","-1,835",-49%
Andorra,Argentina,1,1,0,0
Andorra,Australia,333,30,-303,-91%
Andorra,Austria,1,2,1,1
Andorra,Belgium,0,0,0,
Andorra,Bolivia,2,0,-2,-100%
Andorra,Brazil,0,0,0,
Andorra,Bulgaria,0,0,0,
Andorra,Czechia,4,8,4,1
Andorra,Denmark,1,1,0,0
Andorra,Estonia,0,0,0,
Andorra,Finland,1,1,0,0
Andorra,France,"1,233","1,313",80,0.06
Andorra,Greece,6,4,-2,-33%
Andorra,Guinea,0,0,0,
Andorra,Hungary,0,0,0,
Andorra,Iceland,0,0,0,
Andorra,Ireland,0,3,3,
Andorra,Italy,2,19,17,8.5
Andorra,Latvia,0,0,0,
Andorra,Liechtenstein,0,0,0,
Andorra,Luxembourg,0,0,0,
Andorra,Mali,0,0,0,
Andorra,Micronesia (country),0,0,0,
Andorra,Netherlands,0,0,0,
Andorra,Norway,0,0,0,
Andorra,Portugal,122,417,295,2.42
Andorra,Romania,0,0,0,
Andorra,Slovakia,0,0,0,
Andorra,Spain,"2,008","3,717","1,709",0.85
Andorra,Sweden,0,1,1,
Andorra,Switzerland,20,32,12,0.6
Andorra,United Kingdom,6,26,20,3.33
Angola,Angola,"-824,886","-913,206","-88,320",-11%
Angola,Argentina,20,20,0,0
Angola,Australia,310,420,110,0.35
Angola,Austria,188,236,48,0.26
Angola,Belgium,"1,282",658,-624,-49%
Angola,Bolivia,6,4,-2,-33%
Angola,Botswana,551,"1,320",769,1.4
Angola,Brazil,"4,868","6,355","1,487",0.31
Angola,Bulgaria,4,4,0,0
Angola,Cameroon,0,0,0,
Angola,Canada,"1,266","2,446","1,180",0.93
Angola,Cape Verde,"1,588","2,209",621,0.39
Angola,Congo,"10,334","31,100","20,766",2.01
Angola,Costa Rica,4,2,-2,-50%
Angola,Cuba,218,106,-112,-51%
Angola,Czechia,33,67,34,1.03
Angola,Democratic Republic of Congo,"468,462","325,733","-142,729",-30%
Angola,Denmark,48,106,58,1.21
Angola,Ecuador,14,18,4,0.29
Angola,Egypt,23,21,-2,-9%
Angola,Eritrea,247,620,373,1.51
Angola,Estonia,0,0,0,
Angola,Eswatini,4,166,162,#ERROR!
Angola,Finland,4,94,90,#ERROR!
Angola,France,"11,499","12,243",744,0.06
Angola,Gabon,342,572,230,0.67
Angola,Germany,0,0,0,
Angola,Greece,20,19,-1,-5%
Angola,Guinea,0,0,0,
Angola,Hungary,32,53,21,0.66
Angola,Iceland,10,19,9,0.9
Angola,Ireland,92,559,467,5.08
Angola,Italy,304,"1,744","1,440",4.74
Angola,Latvia,1,2,1,1
Angola,Liechtenstein,0,0,0,
Angola,Lithuania,0,0,0,
Angola,Luxembourg,0,0,0,
Angola,Mali,70,67,-3,-4%
Angola,Mexico,39,49,10,0.26
Angola,Micronesia (country),0,0,0,
Angola,Mozambique,"14,337","22,937","8,600",0.6
Angola,Namibia,"24,028","49,790","25,762",1.07
Angola,Netherlands,"1,727","3,445","1,718",0.99
Angola,Norway,30,103,73,2.43
Angola,Peru,8,11,3,0.38
Angola,Philippines,581,"2,523","1,942",3.34
Angola,Poland,38,28,-10,-26%
Angola,Portugal,"141,573","173,193","31,620",0.22
Angola,Romania,0,0,0,
Angola,Russia,519,404,-115,-22%
Angola,Sao Tome and Principe,468,654,186,0.4
Angola,Slovakia,11,16,5,0.45
Angola,Slovenia,0,0,0,
Angola,South Africa,"6,602","15,785","9,183",1.39
Angola,Spain,"1,201","2,524","1,323",1.1
Angola,Sweden,340,433,93,0.27
Angola,Switzerland,"3,772","4,709",937,0.25
Angola,Tanzania,717,"1,018",301,0.42
Angola,United Kingdom,825,"5,717","4,892",5.93
Angola,United States,"2,252","4,475","2,223",0.99
Angola,Venezuela,167,161,-6,-4%
Angola,Zambia,"123,807","238,248","114,441",0.92
Anguilla,Anguilla,"-1,832","-2,508",-676,-37%
Anguilla,Antigua and Barbuda,17,32,15,0.88
Anguilla,Bonaire Sint Eustatius and Saba,0,0,0,
Anguilla,Bulgaria,10,21,11,1.1
Anguilla,Canada,106,139,33,0.31
Anguilla,Curacao,0,0,0,
Anguilla,Dominica,7,11,4,0.57
Anguilla,Dominican Republic,139,170,31,0.22
Anguilla,France,8,9,1,0.13
Anguilla,Greece,6,17,11,1.83
Anguilla,Ireland,0,2,2,
Anguilla,Latvia,4,9,5,1.25
Anguilla,Micronesia (country),0,0,0,
Anguilla,Netherlands,7,14,7,1
Anguilla,Romania,0,0,0,
Anguilla,Russia,304,286,-18,-6%
Anguilla,Saint Lucia,16,29,13,0.81
Anguilla,Sint Maarten (Dutch part),0,0,0,
Anguilla,United Kingdom,95,666,571,6.01
Anguilla,United States Virgin Islands,"1,113","1,103",-10,-1%
Antigua and Barbuda,Antigua and Barbuda,"-21,382","-32,782","-11,400",-53%
Antigua and Barbuda,Australia,21,30,9,0.43
Antigua and Barbuda,Austria,4,5,1,0.25
Antigua and Barbuda,Bahamas,13,8,-5,-38%
Antigua and Barbuda,Barbados,226,267,41,0.18
Antigua and Barbuda,Belgium,0,0,0,
Antigua and Barbuda,Bolivia,10,0,-10,-100%
Antigua and Barbuda,Bonaire Sint Eustatius and Saba,0,0,0,
Antigua and Barbuda,British Virgin Islands,388,524,136,0.35
Antigua and Barbuda,Bulgaria,1,3,2,2
Antigua and Barbuda,Canada,"1,900","2,313",413,0.22
Antigua and Barbuda,Curacao,0,0,0,
Antigua and Barbuda,Czechia,1,3,2,2
Antigua and Barbuda,Denmark,0,0,0,
Antigua and Barbuda,Dominica,184,290,106,0.58
Antigua and Barbuda,Dominican Republic,266,325,59,0.22
Antigua and Barbuda,Egypt,14,13,-1,-7%
Antigua and Barbuda,Estonia,0,0,0,
Antigua and Barbuda,Finland,0,0,0,
Antigua and Barbuda,France,19,20,1,0.05
Antigua and Barbuda,Greece,12,14,2,0.17
Antigua and Barbuda,Grenada,22,35,13,0.59
Antigua and Barbuda,Guinea,0,0,0,
Antigua and Barbuda,Guyana,5,10,5,1
Antigua and Barbuda,Hungary,0,0,0,
Antigua and Barbuda,Iceland,0,0,0,
Antigua and Barbuda,Ireland,1,3,2,2
Antigua and Barbuda,Italy,1,11,10,#ERROR!
Antigua and Barbuda,Jamaica,120,165,45,0.38
Antigua and Barbuda,Latvia,0,0,0,
Antigua and Barbuda,Luxembourg,0,0,0,
Antigua and Barbuda,Micronesia (country),0,0,0,
Antigua and Barbuda,Montserrat,172,104,-68,-40%
Antigua and Barbuda,Namibia,693,616,-77,-11%
Antigua and Barbuda,Netherlands,11,23,12,1.09
Antigua and Barbuda,Nicaragua,35,65,30,0.86
Antigua and Barbuda,Norway,0,0,0,
Antigua and Barbuda,Romania,0,0,0,
Antigua and Barbuda,Saint Kitts and Nevis,175,319,144,0.82
Antigua and Barbuda,Saint Lucia,49,90,41,0.84
Antigua and Barbuda,Saint Vincent and the Grenadines,51,55,4,0.08
Antigua and Barbuda,Sint Maarten (Dutch part),0,0,0,
Antigua and Barbuda,Sweden,6,6,0,0
Antigua and Barbuda,Switzerland,20,80,60,3
Antigua and Barbuda,United Kingdom,542,"3,764","3,222",5.94
Antigua and Barbuda,United States,"12,022","18,789","6,767",0.56
Antigua and Barbuda,United States Virgin Islands,"4,398","4,832",434,0.1
Argentina,Andorra,86,151,65,0.76
Argentina,Argentina,"-430,155","-555,542","-125,387",-29%
Argentina,Australia,"13,155","12,020","-1,135",-9%
Argentina,Austria,839,"1,054",215,0.26
Argentina,Bahamas,8,9,1,0.13
Argentina,Belarus,76,107,31,0.41
Argentina,Belgium,"1,156","1,114",-42,-4%
Argentina,Bolivia,"21,923","28,095","6,172",0.28
Argentina,Bonaire Sint Eustatius and Saba,0,0,0,
Argentina,Brazil,"28,350","27,597",-753,-3%
Argentina,Bulgaria,7,53,46,6.57
Argentina,Canada,"10,660","13,698","3,038",0.28
Argentina,Cape Verde,5,10,5,1
Argentina,Cayman Islands,3,13,10,3.33
Argentina,Chile,"32,696","45,770","13,074",0.4
Argentina,Colombia,"2,359","2,582",223,0.09
Argentina,Costa Rica,"1,041","1,120",79,0.08
Argentina,Croatia,143,171,28,0.2
Argentina,Cuba,373,190,-183,-49%
Argentina,Curacao,0,0,0,
Argentina,Cyprus,21,38,17,0.81
Argentina,Czechia,76,152,76,1
Argentina,Denmark,833,965,132,0.16
Argentina,Dominican Republic,"2,642","3,227",585,0.22
Argentina,Ecuador,"1,669","2,239",570,0.34
Argentina,Egypt,322,183,-139,-43%
Argentina,El Salvador,255,166,-89,-35%
Argentina,Estonia,0,0,0,
Argentina,Falkland Islands,27,39,12,0.44
Argentina,Finland,107,132,25,0.23
Argentina,France,"10,137","10,793",656,0.06
Argentina,Georgia,0,16,16,
Argentina,Germany,"4,499","4,732",233,0.05
Argentina,Greece,641,626,-15,-2%
Argentina,Guatemala,285,350,65,0.23
Argentina,Guinea,0,0,0,
Argentina,Haiti,466,419,-47,-10%
Argentina,Honduras,145,142,-3,-2%
Argentina,Hungary,22,223,201,9.14
Argentina,Iceland,5,13,8,1.6
Argentina,Ireland,63,382,319,5.06
Argentina,Israel,"25,526","31,828","6,302",0.25
Argentina,Italy,"31,345","20,245","-11,100",-35%
Argentina,Japan,"2,657","3,072",415,0.16
Argentina,Latvia,9,20,11,1.22
Argentina,Liechtenstein,0,0,0,
Argentina,Lithuania,83,72,-11,-13%
Argentina,Luxembourg,38,35,-3,-8%
Argentina,Malta,7,10,3,0.43
Argentina,Mauritania,60,66,6,0.1
Argentina,Mexico,"4,340","6,625","2,285",0.53
Argentina,Micronesia (country),0,0,0,
Argentina,Namibia,74,67,-7,-9%
Argentina,Netherlands,"1,614","2,020",406,0.25
Argentina,New Zealand,419,373,-46,-11%
Argentina,Nicaragua,185,188,3,0.02
Argentina,Norway,445,533,88,0.2
Argentina,Panama,580,796,216,0.37
Argentina,Paraguay,"50,447","64,404","13,957",0.28
Argentina,Peru,"7,080","8,282","1,202",0.17
Argentina,Philippines,32,657,625,#ERROR!
Argentina,Poland,251,183,-68,-27%
Argentina,Portugal,303,"1,032",729,2.41
Argentina,Puerto Rico,"1,234","1,259",25,0.02
Argentina,Romania,10,8,-2,-20%
Argentina,Russia,582,543,-39,-7%
Argentina,San Marino,68,81,13,0.19
Argentina,Serbia,5,52,47,9.4
Argentina,Slovakia,20,54,34,1.7
Argentina,Slovenia,92,163,71,0.77
Argentina,South Africa,623,996,373,0.6
Argentina,Spain,"42,923","79,339","36,416",0.85
Argentina,Sweden,"1,913","2,435",522,0.27
Argentina,Switzerland,"4,509","6,009","1,500",0.33
Argentina,Turkey,34,131,97,2.85
Argentina,United Kingdom,947,"6,561","5,614",5.93
Argentina,United States,"92,563","128,397","35,834",0.39
Argentina,Uruguay,"14,559","21,691","7,132",0.49
Argentina,Venezuela,"9,483","8,724",-759,-8%
Armenia,Argentina,"1,236","1,178",-58,-5%
Armenia,Armenia,"-899,678","-877,148","22,530",0.03
Armenia,Australia,388,980,592,1.53
Armenia,Austria,"1,681","2,111",430,0.26
Armenia,Azerbaijan,"202,586","188,400","-14,186",-7%
Armenia,Belarus,"6,645","5,944",-701,-11%
Armenia,Belgium,7,4,-3,-43%
Armenia,Bolivia,0,1,1,
Armenia,Brazil,0,0,0,
Armenia,Bulgaria,"1,207","1,150",-57,-5%
Armenia,Canada,"1,771","1,828",57,0.03
Armenia,Costa Rica,6,5,-1,-17%
Armenia,Cyprus,292,534,242,0.83
Armenia,Czechia,227,453,226,1
Armenia,Denmark,400,459,59,0.15
Armenia,Ecuador,13,16,3,0.23
Armenia,Egypt,179,118,-61,-34%
Armenia,Estonia,715,595,-120,-17%
Armenia,Finland,0,19,19,
Armenia,France,"6,547","6,970",423,0.06
Armenia,Georgia,"4,039","12,268","8,229",2.04
Armenia,Germany,"5,581","10,202","4,621",0.83
Armenia,Greece,"12,148","8,899","-3,249",-27%
Armenia,Guinea,0,0,0,
Armenia,Hungary,186,144,-42,-23%
Armenia,Iceland,2,2,0,0
Armenia,Iran,571,"1,287",716,1.25
Armenia,Ireland,10,62,52,5.2
Armenia,Italy,25,279,254,#ERROR!
Armenia,Jordan,26,32,6,0.23
Armenia,Kazakhstan,"7,596","6,716",-880,-12%
Armenia,Kyrgyzstan,"7,381","4,449","-2,932",-40%
Armenia,Latvia,"1,552","1,073",-479,-31%
Armenia,Libya,511,188,-323,-63%
Armenia,Liechtenstein,0,0,0,
Armenia,Lithuania,815,681,-134,-16%
Armenia,Luxembourg,0,0,0,
Armenia,Malta,11,15,4,0.36
Armenia,Mexico,60,75,15,0.25
Armenia,Micronesia (country),0,0,0,
Armenia,Namibia,94,84,-10,-11%
Armenia,Netherlands,43,85,42,0.98
Armenia,Norway,4,33,29,7.25
Armenia,Philippines,31,141,110,3.55
Armenia,Poland,"1,181",864,-317,-27%
Armenia,Portugal,16,54,38,2.38
Armenia,Romania,1,1,0,0
Armenia,Russia,"535,266","478,856","-56,410",-11%
Armenia,Serbia,19,167,148,7.79
Armenia,Slovakia,37,94,57,1.54
Armenia,Slovenia,0,0,0,
Armenia,Spain,282,"1,315","1,033",3.66
Armenia,Sweden,267,341,74,0.28
Armenia,Switzerland,374,459,85,0.23
Armenia,Tajikistan,257,207,-50,-19%
Armenia,Turkey,192,740,548,2.85
Armenia,Turkmenistan,"11,254","7,452","-3,802",-34%
Armenia,Ukraine,"35,141","54,082","18,941",0.54
Armenia,United Kingdom,81,572,491,6.06
Armenia,United States,"41,481","66,937","25,456",0.61
Armenia,Uzbekistan,"9,213","7,498","-1,715",-19%
Armenia,Venezuela,30,29,-1,-3%
Aruba,Antigua and Barbuda,7,4,-3,-43%
Aruba,Argentina,1,1,0,0
Aruba,Aruba,"-5,887","-7,662","-1,775",-30%
Aruba,Australia,26,60,34,1.31
Aruba,Austria,0,0,0,
Aruba,Bolivia,0,4,4,
Aruba,Bonaire Sint Eustatius and Saba,0,0,0,
Aruba,Bulgaria,1,3,2,2
Aruba,Canada,523,600,77,0.15
Aruba,Costa Rica,29,25,-4,-14%
Aruba,Curacao,0,0,0,
Aruba,Czechia,0,0,0,
Aruba,Denmark,5,0,-5,-100%
Aruba,Dominica,17,26,9,0.53
Aruba,Dominican Republic,330,403,73,0.22
Aruba,Finland,0,0,0,
Aruba,France,10,10,0,0
Aruba,Greece,41,92,51,1.24
Aruba,Hungary,0,0,0,
Aruba,Iceland,0,0,0,
Aruba,Ireland,1,8,7,7
Aruba,Latvia,1,1,0,0
Aruba,Lithuania,0,0,0,
Aruba,Luxembourg,0,0,0,
Aruba,Micronesia (country),0,0,0,
Aruba,Netherlands,557,727,170,0.31
Aruba,Norway,0,0,0,
Aruba,Philippines,9,67,58,6.44
Aruba,Saint Lucia,8,14,6,0.75
Aruba,Sint Maarten (Dutch part),0,0,0,
Aruba,Slovakia,0,0,0,
Aruba,Slovenia,0,0,0,
Aruba,United Kingdom,111,772,661,5.95
Aruba,United States,"3,363","3,910",547,0.16
Aruba,United States Virgin Islands,417,520,103,0.25
Aruba,Venezuela,430,415,-15,-3%
Australia,Andorra,36,41,5,0.14
Australia,Antigua and Barbuda,7,6,-1,-14%
Australia,Argentina,625,575,-50,-8%
Australia,Australia,"-301,013","-381,836","-80,823",-27%
Australia,Austria,"1,371","1,723",352,0.26
Australia,Bahamas,27,65,38,1.41
Australia,Barbados,24,29,5,0.21
Australia,Belarus,21,28,7,0.33
Australia,Belgium,681,"1,173",492,0.72
Australia,Bermuda,37,43,6,0.16
Australia,Bhutan,12,17,5,0.42
Australia,Bolivia,74,154,80,1.08
Australia,Botswana,120,114,-6,-5%
Australia,Brazil,297,447,150,0.51
Australia,British Virgin Islands,12,16,4,0.33
Australia,Brunei,262,482,220,0.84
Australia,Bulgaria,13,66,53,4.08
Australia,Cambodia,54,229,175,3.24
Australia,Canada,"13,390","18,729","5,339",0.4
Australia,Cayman Islands,23,77,54,2.35
Australia,Central African Republic,9,16,7,0.78
Australia,China,611,"1,655","1,044",1.71
Australia,Cook Islands,115,124,9,0.08
Australia,Costa Rica,73,51,-22,-30%
Australia,Croatia,694,753,59,0.09
Australia,Cyprus,741,"1,355",614,0.83
Australia,Czechia,56,113,57,1.02
Australia,Denmark,981,"1,638",657,0.67
Australia,Dominica,3,5,2,0.67
Australia,Dominican Republic,67,82,15,0.22
Australia,Ecuador,125,155,30,0.24
Australia,Egypt,525,344,-181,-34%
Australia,El Salvador,33,21,-12,-36%
Australia,Estonia,0,0,0,
Australia,Eswatini,8,16,8,1
Australia,Falkland Islands,7,10,3,0.43
Australia,Fiji,"1,306","1,489",183,0.14
Australia,Finland,452,552,100,0.22
Australia,France,"3,931","4,185",254,0.06
Australia,French Polynesia,63,74,11,0.17
Australia,Germany,"6,205","7,467","1,262",0.2
Australia,Ghana,17,19,2,0.12
Australia,Greece,"19,643","20,267",624,0.03
Australia,Guatemala,47,44,-3,-6%
Australia,Guinea,0,0,0,
Australia,Hong Kong,"6,092","7,506","1,414",0.23
Australia,Hungary,832,642,-190,-23%
Australia,Iceland,60,61,1,0.02
Australia,India,"3,116",812,"-2,304",-74%
Australia,Indonesia,"5,963","1,928","-4,035",-68%
Australia,Ireland,532,"4,267","3,735",7.02
Australia,Isle of Man,123,157,34,0.28
Australia,Israel,"2,102","2,631",529,0.25
Australia,Italy,"8,059","5,226","-2,833",-35%
Australia,Japan,"3,976","9,189","5,213",1.31
Australia,Jordan,188,303,115,0.61
Australia,Kiribati,64,86,22,0.34
Australia,Laos,18,17,-1,-6%
Australia,Latvia,45,93,48,1.07
Australia,Libya,"1,499",551,-948,-63%
Australia,Liechtenstein,0,0,0,
Australia,Lithuania,22,19,-3,-14%
Australia,Luxembourg,74,67,-7,-9%
Australia,Malaysia,"1,851","2,989","1,138",0.61
Australia,Maldives,37,48,11,0.3
Australia,Malta,"3,435","4,128",693,0.2
Australia,Mexico,116,408,292,2.52
Australia,Micronesia (country),266,257,-9,-3%
Australia,Mongolia,3,4,1,0.33
Australia,Montenegro,0,0,0,
Australia,Namibia,793,705,-88,-11%
Australia,Nauru,202,171,-31,-15%
Australia,Netherlands,"7,853","9,177","1,324",0.17
Australia,New Caledonia,226,298,72,0.32
Australia,New Zealand,"47,778","54,744","6,966",0.15
Australia,Niue,11,16,5,0.45
Australia,North Korea,96,127,31,0.32
Australia,Norway,797,977,180,0.23
